City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Rio Grande,BR,2022-04-25 19:02:07,-32.035,-52.0986,66.94,94,100,7.29
139,Vanavara,RU,2022-04-25 19:11:14,60.34,102.2797,28.35,97,100,4.36
140,Barreiras,BR,2022-04-25 19:11:14,-12.1528,-44.99,90.57,29,5,7.99
141,Punta Arenas,CL,2022-04-25 19:11:33,-53.15,-70.9167,46.11,67,40,17.27
142,Pastavy,BY,2022-04-25 19:12:15,55.1168,26.8326,48.06,65,100,3.69
143,Barrow,US,2022-04-25 19:11:33,71.2906,-156.7887,12.22,79,100,11.5
144,Yatou,CN,2022-04-25 19:12:15,37.15,122.3833,53.78,91,4,3.69
145,Tshikapa,CD,2022-04-25 19:12:16,-6.4167,20.8,73.31,92,100,0.78
146,Vaini,TO,2022-04-25 19:12:16,-21.2,-175.2,73.56,88,75,14.97
147,Calabozo,VE,2022-04-25 19:12:17,8.9242,-67.4293,95.85,37,99,2.28
148,Hermanus,ZA,2022-04-25 19:08:01,-34.4187,19.2345,52.81,71,0,5.5
149,Loharu,IN,2022-04-25 19:12:17,28.45,75.8167,87.67,18,100,7.36
150,La Ronge,CA,2022-04-25 19:12:18,55.1001,-105.2842,31.98,51,0,10.58
151,Boa Vista,BR,2022-04-25 19:12:18,2.8197,-60.6733,91.38,55,40,4.61
152,Kutahya,TR,2022-04-25 19:12:18,39.4242,29.9833,59.2,56,100,5.64
153,Pisco,PE,2022-04-25 19:05:44,-13.7,-76.2167,71.02,77,0,8.05
154,Jasper,US,2022-04-25 19:08:56,37.2001,-94.3502,60.94,57,0,11.5
155,Uusikaupunki,FI,2022-04-25 19:12:19,60.8004,21.4084,38.26,80,0,7.63
156,Marquette,US,2022-04-25 19:12:20,46.5333,-87.6335,38.64,81,100,10.02
157,San Patricio,US,2022-04-25 19:12:21,28.017,-97.5169,87.75,53,83,18.59
158,Mahibadhoo,MV,2022-04-25 19:08:55,3.7833,72.9667,84.45,67,21,2.37
159,Jalu,LY,2022-04-25 19:12:22,29.0331,21.5482,83.39,12,100,10.16
160,Taoudenni,ML,2022-04-25 19:05:44,22.6783,-3.9836,85.39,15,0,12.53
161,Labuhan,ID,2022-04-25 19:12:22,-6.8844,112.2051,79.05,85,98,3.2
162,Kavieng,PG,2022-04-25 19:05:53,-2.5744,150.7967,80.85,78,97,10.25
163,Port Hedland,AU,2022-04-25 19:12:23,-20.3167,118.5667,71.65,94,29,8.05
164,Kodiak,US,2022-04-25 19:12:23,57.79,-152.4072,44.11,53,75,9.22
165,Nemuro,JP,2022-04-25 19:12:24,43.3236,145.575,39.27,82,4,7.18
