City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Mar Del Plata,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
132,Kahului,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
133,Dauriya,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
134,Sentyabrskiy,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
135,Mayor Pablo Lagerenza,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
136,Ahipara,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
137,Buariki,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
138,Vila,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
139,Georgetown,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
140,Wahran,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
141,Port Augusta,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
142,Jishou,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
143,Santa Marinella,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
144,Katsuura,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
145,Talaya,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
146,Vardo,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
147,Coquimbo,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
148,Erenhot,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
149,Bengkulu,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
150,Severo-Kurilsk,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
151,Rostaq,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
152,Tual,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
153,Tupik,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
154,Le Port,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
155,San Quintin,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
156,Samusu,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
157,Dolores,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
158,Kyshtovka,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
159,Makakilo City,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
160,Hobart,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
161,Yellowknife,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
162,Ixtapa,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
163,Lagoa,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
164,Poya,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
165,Barrow,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
166,Rio Verde De Mato Grosso,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
167,Kavaratti,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
168,Honiara,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
169,Kizilskoye,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
170,Svarstad,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
171,Sundsvall,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
172,Arlit,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
173,Yerbogachen,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
174,Kilindoni,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
175,Belaya Gora,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
176,Kavieng,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
177,Sioux Lookout,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
178,Chabahar,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
179,Salalah,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
180,Luderitz,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
181,Mulege,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
182,Touros,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
183,Nortelandia,AU,-16.9167,145.7667,72.07,94,6,8.05,clear sky
